date,region,product,channel,quantity,gross_revenue,discount,net_revenue
2026-08-21,West,Product B,Retail,1,15000,1500,13500
2026-08-22,North,Product A,Online,1,25000,2500,22500
2026-08-22,North,Product B,Online,2,30000,6000,24000
2026-08-22,South,Product A,Online,1,25000,2500,22500
2026-08-22,South,Product B,Retail,1,15000,1500,13500
2026-08-23,East,Product A,Online,1,25000,2500,22500
2026-08-23,East,Product D,Partner,1,8000,800,7200
2026-08-23,West,Product A,Retail,2,50000,5000,45000
2026-08-23,West,Product B,Online,1,15000,3000,12000
2026-08-24,North,Product A,Online,2,50000,5000,45000
2026-08-24,North,Product B,Online,1,15000,3000,12000
2026-08-24,South,Product A,Online,1,25000,2500,22500
2026-08-24,South,Product C,Online,1,12000,1200,10800
2026-08-25,East,Product A,Online,1,25000,2500,22500
2026-08-25,East,Product B,Online,1,15000,3000,12000
2026-08-25,West,Product A,Online,1,25000,2500,22500
2026-08-25,West,Product C,Online,1,12000,1200,10800
2026-08-26,North,Product A,Online,1,25000,2500,22500
2026-08-26,North,Product B,Online,1,15000,3000,12000
2026-08-26,South,Product A,Retail,2,50000,5000,45000
2026-08-26,South,Product D,Online,1,8000,800,7200
2026-08-27,East,Product A,Online,1,25000,2500,22500
2026-08-27,East,Product C,Partner,1,12000,1200,10800
2026-08-27,West,Product A,Online,1,25000,2500,22500
2026-08-27,West,Product D,Retail,2,16000,1600,14400
2026-08-28,North,Product A,Online,2,50000,5000,45000
2026-08-28,North,Product B,Online,1,15000,3000,12000
2026-08-28,South,Product A,Online,1,25000,2500,22500
2026-08-28,South,Product B,Retail,1,15000,1500,13500
2026-08-29,East,Product A,Online,1,25000,2500,22500
2026-08-29,East,Product D,Partner,1,8000,800,7200
2026-08-29,West,Product B,Online,1,15000,3000,12000
2026-08-29,West,Product C,Retail,1,12000,1200,10800
2026-08-30,North,Product A,Online,1,25000,2500,22500
2026-08-30,North,Product B,Online,1,15000,3000,12000
2026-08-30,South,Product A,Online,1,25000,2500,22500
2026-08-30,South,Product C,Online,1,12000,1200,10800
2026-08-31,East,Product A,Online,1,25000,2500,22500
2026-08-31,East,Product B,Online,1,15000,3000,12000
2026-08-31,West,Product A,Online,2,50000,5000,45000
2026-08-31,West,Product D,Retail,1,8000,800,7200
